FL_DATE;CANCELLED;FLIGHTS;DISTANCE
2017-01-01;93;13877;910.0228436
2017-01-02;351;15531;888.7602215
2017-01-03;276;15074;877.9350537
2017-01-04;221;14528;860.5237472
2017-01-05;287;14695;864.5093569
2017-01-06;940;14120;868.3123229
2017-01-07;1571;10608;916.6221719
2017-01-08;778;13579;873.8383533
2017-01-09;317;15002;842.1752433
2017-01-10;503;14114;836.7609466
2017-01-11;228;14639;833.0474759
2017-01-12;103;15300;839.6602614
2017-01-13;167;15287;841.7711127
2017-01-14;254;11368;900.5740676
2017-01-15;261;12943;874.460017
2017-01-16;260;14983;843.772609
2017-01-17;138;14454;826.8797565
2017-01-18;172;14681;833.4605272
2017-01-19;90;15297;838.9761391
2017-01-20;199;15247;844.2609694
2017-01-21;114;11745;897.3542784
2017-01-22;472;13769;872.6601787
2017-01-23;442;14851;843.9820214
2017-01-24;104;14473;824.8672701
2017-01-25;29;14808;829.172812
2017-01-26;16;15366;836.0469218
2017-01-27;49;15387;839.986872
2017-01-28;16;11804;894.1135208
2017-01-29;151;14020;861.8164765
2017-01-30;126;15161;837.463294
2017-01-31;158;14420;824.002982
2017-02-01;91;14775;829.1338071
2017-02-02;116;15297;838.0314441
2017-02-03;137;15342;840.4168296
2017-02-04;29;11607;898.3255794
2017-02-05;51;12570;878.466428
2017-02-06;282;15058;837.0333378
2017-02-07;180;14442;826.1787149
2017-02-08;330;14550;821.7969072
2017-02-09;2325;13117;813.9612716
2017-02-10;194;15291;837.2588451
2017-02-11;36;11837;893.7240855
2017-02-12;440;13835;860.7966028
2017-02-13;514;14840;837.4946765
2017-02-14;37;14091;824.3681783
2017-02-15;70;14864;831.3690797
2017-02-16;60;15580;840.6769576
2017-02-17;533;15275;852.3818003
2017-02-18;40;12136;906.2076467
2017-02-19;76;13611;879.0276982
2017-02-20;165;15555;844.357377
2017-02-21;42;15475;831.6458158
2017-02-22;41;15503;835.3679288
2017-02-23;65;15711;842.9346954
2017-02-24;44;15788;843.7801495
2017-02-25;89;12466;901.4013316
2017-02-26;30;14781;867.1102767
2017-02-27;60;15714;841.9443172
2017-02-28;235;15094;834.7469193
2017-03-01;242;15305;833.9206795
2017-03-02;152;15664;843.521642
2017-03-03;31;15859;842.2357652
2017-03-04;39;12528;896.4100415
2017-03-05;34;14886;865.4095795
2017-03-06;261;15668;841.7498724
2017-03-07;150;15328;831.6967641
2017-03-08;65;15620;833.9083867
2017-03-09;45;16309;850.2152186
2017-03-10;182;16297;853.8897957
2017-03-11;32;13759;900.4870267
2017-03-12;100;15749;868.1074354
2017-03-13;1173;15256;841.097011
2017-03-14;3996;11972;802.1971266
2017-03-15;737;15469;843.3775939
2017-03-16;51;16454;851.7117418
2017-03-17;32;16494;852.6038559
2017-03-18;61;13837;903.5664523
2017-03-19;82;15813;868.9459306
2017-03-20;135;16306;852.7708206
2017-03-21;33;15951;840.6130023
2017-03-22;60;16160;844.9449876
2017-03-23;29;16486;852.4051316
2017-03-24;164;16366;856.2929244
2017-03-25;14;13890;902.9461483
2017-03-26;27;15790;867.2371754
2017-03-27;50;16371;849.7195651
2017-03-28;157;15795;843.2069009
2017-03-29;93;16105;845.4561937
2017-03-30;123;16323;852.3348037
2017-03-31;177;16260;853.1827183
2017-04-01;152;13485;902.9291064
2017-04-02;166;15630;868.446833
2017-04-03;217;16191;852.6964981
2017-04-04;114;15798;840.9260666
2017-04-05;1192;14838;857.9032215
2017-04-06;1851;14488;869.4636251
2017-04-07;1111;15270;855.232482
2017-04-08;426;13037;899.5959193
2017-04-09;212;15434;861.7204224
2017-04-10;161;16154;846.5492138
2017-04-11;96;15824;839.2494944
2017-04-12;36;15990;839.0334584
2017-04-13;17;16327;844.8920194
2017-04-14;19;16311;847.52296
2017-04-15;15;13147;898.5999848
2017-04-16;19;15110;867.9926539
2017-04-17;112;16231;844.6504836
2017-04-18;42;15899;838.284672
2017-04-19;16;16012;838.1433925
2017-04-20;122;16222;846.6598447
2017-04-21;101;16312;846.4110471
2017-04-22;79;13379;893.9956648
2017-04-23;174;15486;864.1164923
2017-04-24;128;16216;844.8452146
2017-04-25;116;15654;832.9419957
2017-04-26;107;15832;833.9286887
2017-04-27;83;16226;841.0536177
2017-04-28;54;16317;841.0196114
2017-04-29;289;12756;882.9878489
2017-04-30;171;15355;858.5983719
2017-05-01;208;16092;840.7440964
2017-05-02;57;15832;831.4772612
2017-05-03;181;15807;834.2758272
2017-05-04;130;16176;838.8896513
2017-05-05;309;16096;843.5181412
2017-05-06;112;13012;881.3106363
2017-05-07;120;15538;852.7325911
2017-05-08;111;16299;839.0787165
2017-05-09;72;16063;832.4952375
2017-05-10;88;16131;834.9850598
2017-05-11;109;16314;841.4497977
2017-05-12;50;16420;842.1618758
2017-05-13;106;12823;889.2390236
2017-05-14;33;15207;861.3860722
2017-05-15;42;16392;842.7642143
2017-05-16;80;16076;836.0475865
2017-05-17;135;16092;840.2221601
2017-05-18;215;16210;844.4932758
2017-05-19;113;16374;844.7229754
2017-05-20;136;13047;891.3963363
2017-05-21;206;15559;863.9545601
2017-05-22;253;16183;849.0093308
2017-05-23;70;16111;839.1821116
2017-05-24;70;16193;840.6714012
2017-05-25;447;16176;846.4860287
2017-05-26;195;16423;847.1331669
2017-05-27;51;12788;894.0383954
2017-05-28;57;13178;887.5148733
2017-05-29;45;15522;863.4257183
2017-05-30;164;16091;842.7241315
